id,name,category,price,discount_percentage,stock_quantity,is_featured,is_new,image_url,brand,sku,description,slug
1,iPhone 13 Pro OLED Screen,Replacement Parts,129.99,13.33,50,true,true,https://example.com/images/iphone-13-screen.jpg,Apple,IP13-OLED,"High-quality OLED screen replacement for iPhone 13 Pro",iphone-13-pro-oled-screen
2,Professional Repair Tool Kit,Tools,89.99,0,100,true,false,https://example.com/images/repair-tools.jpg,ProTools,PT-KIT-01,"Complete toolkit for phone and tablet repairs",professional-repair-tool-kit
3,Samsung Galaxy S22 Battery,Batteries,39.99,20,75,true,true,https://example.com/images/samsung-battery.jpg,Samsung,SG22-BAT,"Original replacement battery for Samsung Galaxy S22",samsung-galaxy-s22-battery
4,iPad Pro 12.9" LCD Assembly,Replacement Parts,199.99,0,30,true,false,https://example.com/images/ipad-screen.jpg,Apple,IPAD-LCD-129,"Full LCD assembly for iPad Pro 12.9-inch",ipad-pro-12-9-lcd-assembly
5,iPhone 12 LCD Screen,iPhone Parts,89.99,0,60,false,true,https://example.com/images/iphone-12-screen.jpg,Apple,IP12-LCD,"Replacement LCD screen for iPhone 12",iphone-12-lcd-screen
6,Samsung Galaxy S21 Battery,Samsung Parts,34.99,0,80,false,true,https://example.com/images/samsung-s21-battery.jpg,Samsung,SG21-BAT,"Original replacement battery for Samsung Galaxy S21",samsung-galaxy-s21-battery
7,iPad Mini 5 Digitizer,iPad Parts,79.99,10,45,false,true,https://example.com/images/ipad-digitizer.jpg,Apple,IPM5-DIG,"Replacement digitizer for iPad Mini 5",ipad-mini-5-digitizer
8,MacBook Pro Keyboard,MacBook Parts,129.99,0,25,false,true,https://example.com/images/macbook-keyboard.jpg,Apple,MBP-KEY,"Replacement keyboard for MacBook Pro",macbook-pro-keyboard
9,Precision Screwdriver Set,Tools,49.99,0,150,false,true,https://example.com/images/screwdriver-set.jpg,ProTools,PT-SCRW-01,"Precision screwdriver set for electronics repair",precision-screwdriver-set
10,Heat Gun for Repairs,Tools,69.99,15,40,false,true,https://example.com/images/heat-gun.jpg,TechTools,TT-HEAT-01,"Professional heat gun for electronics repair",heat-gun-for-repairs
11,Casper Camera Lens Protector Compatible For iPhone Air (Black) (Clear),iPhone Parts,24.99,0,100,true,true,/images/products/casper-lens-black.jpg,Casper,CASP-IP17-LENS-BLK,"Premium camera lens protector for iPhone 17 Air in black finish",casper-camera-lens-iphone-air-black
12,Casper Pro Tempered Glass Compatible For iPhone Air (Retail Pack) (Clear),iPhone Parts,19.99,0,150,true,true,/images/products/casper-glass-clear.jpg,Casper,CASP-IP17-GLASS-CLR,"High-quality tempered glass screen protector for iPhone 17 Air",casper-tempered-glass-iphone-air-clear
13,Casper Pro Tempered Glass Compatible For iPhone Air (Retail Pack) (Matte),iPhone Parts,21.99,0,120,true,true,/images/products/casper-glass-matte.jpg,Casper,CASP-IP17-GLASS-MAT,"Matte finish tempered glass screen protector for iPhone 17 Air",casper-tempered-glass-iphone-air-matte
14,Casper Pro Silicone Tempered Glass Compatible For iPhone Air (Retail Pack) (Clear),iPhone Parts,25.99,0,80,true,true,/images/products/casper-silicone-glass.jpg,Casper,CASP-IP17-SIL-CLR,"Silicone-enhanced tempered glass screen protector for iPhone 17 Air",casper-silicone-tempered-glass-iphone-air
15,Casper Pro Tempered Glass Compatible For iPhone Air (Retail Pack) (Privacy),iPhone Parts,29.99,0,90,true,true,/images/products/casper-glass-privacy.jpg,Casper,CASP-IP17-GLASS-PRV,"Privacy tempered glass screen protector for iPhone 17 Air",casper-tempered-glass-iphone-air-privacy
16,Casper Pro Tempered Glass Compatible For iPhone Air (10 Pack) (Clear),iPhone Parts,149.99,20,50,true,true,/images/products/casper-glass-10pack-clear.jpg,Casper,CASP-IP17-10P-CLR,"Bulk pack of 10 clear tempered glass screen protectors for iPhone 17 Air",casper-tempered-glass-iphone-air-10pack-clear
17,Casper Pro Tempered Glass Compatible For iPhone Air (10 Pack) (Matte),iPhone Parts,159.99,20,45,true,true,/images/products/casper-glass-10pack-matte.jpg,Casper,CASP-IP17-10P-MAT,"Bulk pack of 10 matte tempered glass screen protectors for iPhone 17 Air",casper-tempered-glass-iphone-air-10pack-matte
18,Casper Pro Tempered Glass Compatible For iPhone Air (10 Pack) (Privacy),iPhone Parts,179.99,15,40,true,true,/images/products/casper-glass-10pack-privacy.jpg,Casper,CASP-IP17-10P-PRV,"Bulk pack of 10 privacy tempered glass screen protectors for iPhone 17 Air",casper-tempered-glass-iphone-air-10pack-privacy
19,Casper Camera Lens Protector Compatible For iPhone Air (Crystal Full Cover),iPhone Parts,34.99,0,75,true,true,/images/products/casper-lens-crystal.jpg,Casper,CASP-IP17-LENS-CRY,"Crystal full cover camera lens protector for iPhone 17 Air",casper-camera-lens-iphone-air-crystal
